Comment,Designator,Footprint,JLCPCB Part #（optional）
CPT-9019S-SMT-TR,BZ1,CPT-9019S,C95163
1u,"C1,C4,C15,C22,C63,C64",C_0805,C28323
100n,"C2,C5,C6,C10,C12,C18,C19,C21,C23,C24,C32,C33,C34,C36,C38,C40,C41,C42,C43,C44,C45,C46,C48,C50,C51,C52,C53,C54,C59,C62,C65,C67,C68",C_0603,C14663
10u,"C3,C7,C8,C9,C11,C13,C16,C17,C20,C29,C47,C69,C70,C73,C74",C_0805,C440198
2u2,"C14,C35",C_0805,C377773
15p,"C25,C26",C_0603,C1644
33p,"C27,C28",C_0603,C1663
10n,"C30,C31,C37,C39,C49,C55,C56,C57,C58",C_0603,C57112
1n,"C60,C71,C72",C_0603,C1588
100p,C61,C_0603,C14858
220n,C66,C_0603,C21120
LED_Red_0603,"D1,D2,D3,D4",LED_0603,C2286
1N4148WS,"D5,D6,D7,D8,D9,D10,D11,D12",SOD-323,C2128
LS027B7DH01,DS1,Display_LS027B7DH01,C262557
JST_PH_2.0mm_1x02,J1,JST_PH_2.0mm_1x02,C131337
USB_C,J2,USB_C,C165948
Header_50mil_2x07,J3,Header_50mil_2x07,C5563894
JST_PH_2.0mm_1x03,J4,JST_PH_2.0mm_1x03,C131339
Header_100mil_1x06,"J5,J6,J7",Header_100mil_1x06,C225481
Header_50mil_1x03,J8,Header_50mil_1x03,C42162998
Header_50mil_1x05,"J9,J10,J11",Header_50mil_1x05,
AO3401A,"Q1,Q2",SOT-23-3,C15127
FS8205A,Q3,SOT-23-6,C2830320
AO3400A,"Q4,Q5",SOT-23-3,C20917
100k,"R1,R10,R30,R33,R57",R_0603,C25803
1k,"R2,R6,R7,R12,R13",R_0603,C21190
470R,R3,R_0603,C23179
2k,"R4,R28,R35",R_0603,C22975
33k,"R5,R11,R14,R15,R16,R17,R18,R19,R22,R23,R24,R25,R26,R27,R34",R_0603,C4216
180k,R8,R_0603,C22827
68k,"R9,R32,R52",R_0603,C23231
5k1,"R20,R21,R29,R31",R_0603,C23186
10k,"R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R50,R55,R56",R_0603,C25804
680k,"R46,R47,R48,R49",R_0603,C25822
6k8,R51,R_0603,C23212
100k,R53,R_0805,C149504
10k,R54,R_0805,C17414
22R,"R58,R59",R_0603,C23345
PEC11R-4215F-S0024,"SW1,SW2",RotaryEncoder_PEC11R,C143790
LP5907MFX-3.3/NOPB,"U1,U3",SOT-23-5,C80670
DW01A,U2,SOT-23-6,C351410
TP4056,U4,ESOP-8,C382139
HX4002-MFC,U5,SOT-23-6,C172354
LM27761DSGR,U6,WSON-8-2x2-EP,C129351
STM32G0B1RET6,U7,LQFP-64,C2829307
RN4871-I/RM128,U8,RN4871,C633941
SN74AHCT244DBR,U9,SSOP-20,C2868870
BL24C256A-SFRC,U10,TSSOP-8,C110276
BME280,U11,LGA-8_2.5x2.5mm_P0.65mm,C92489
SN74HC14PWR,U12,TSSOP-14,C6821
TMP236A4DBZR,U13,SOT-23-3,C2872164
AD9833BRMZ-REEL7,U14,MSOP-10,C9652
ADS131M04IPWR,U15,TSSOP-20,C2862562
AD826,U16,SOIC-8,C114171
Q13FC1350000400,Y1,CRYSTAL-3215,C32346
X50328MSB2GI,Y2,CRYSTAL-3225,C115962
